Index,time,v_c,v_din,v_q
0,0.0,1.8,0.0,0.8628725
1,1e-14,1.8,0.00036,0.8628725
2,2e-14,1.8,0.00072,0.8628725
3,4e-14,1.8,0.00144,0.8628725
4,8e-14,1.8,0.00288,0.8628725
5,1.6e-13,1.8,0.00576,0.8628725
6,3.2e-13,1.8,0.01152,0.8628725
7,6.4e-13,1.8,0.02304,0.8628725
8,1.28e-12,1.8,0.04608,0.8628725
9,2.28e-12,1.8,0.08208,0.8628725
10,3.28e-12,1.8,0.11808,0.8628725
11,4.28e-12,1.8,0.15408,0.8628725
12,5.28e-12,1.8,0.19008,0.8628725
13,6.28e-12,1.8,0.22608,0.8628725
14,7.28e-12,1.8,0.26208,0.8628725
15,8.28e-12,1.8,0.29808,0.8628725
16,9.28e-12,1.8,0.33408,0.8628725
17,1.028e-11,1.8,0.37008,0.8628725
18,1.128e-11,1.8,0.40608,0.8628725
19,1.228e-11,1.8,0.44208,0.8628725
20,1.328e-11,1.8,0.47808,0.8628725
21,1.428e-11,1.8,0.51408,0.8628725
22,1.528e-11,1.8,0.55008,0.8628725
23,1.628e-11,1.8,0.58608,0.8628725
24,1.728e-11,1.8,0.62208,0.8628725
25,1.828e-11,1.8,0.65808,0.8628724
26,1.928e-11,1.8,0.69408,0.8628724
27,2.028e-11,1.8,0.73008,0.8628724
28,2.128e-11,1.8,0.76608,0.8628724
29,2.228e-11,1.8,0.80208,0.8628724
30,2.328e-11,1.8,0.83808,0.8628724
31,2.428e-11,1.8,0.87408,0.8628724
32,2.528e-11,1.8,0.91008,0.8628724
33,2.628e-11,1.8,0.94608,0.8628724
34,2.728e-11,1.8,0.98208,0.8628724
35,2.828e-11,1.8,1.01808,0.8628724
36,2.928e-11,1.8,1.05408,0.8628725
37,3.028e-11,1.8,1.09008,0.8628726
38,3.128e-11,1.8,1.12608,0.8628727
39,3.228e-11,1.8,1.16208,0.8628728
40,3.328e-11,1.8,1.19808,0.862873
41,3.428e-11,1.8,1.23408,0.8628733
42,3.528e-11,1.8,1.27008,0.8628736
43,3.628e-11,1.8,1.30608,0.862874
44,3.728e-11,1.8,1.34208,0.8628745
45,3.828e-11,1.8,1.37808,0.862875
46,3.928e-11,1.8,1.41408,0.8628757
47,4.028e-11,1.8,1.45008,0.8628766
48,4.128e-11,1.8,1.48608,0.8628776
49,4.228e-11,1.8,1.52208,0.8628787
50,4.328e-11,1.8,1.55808,0.86288
51,4.428e-11,1.8,1.59408,0.8628815
52,4.528e-11,1.8,1.63008,0.8628833
53,4.628e-11,1.8,1.66608,0.8628852
54,4.728e-11,1.8,1.70208,0.8628873
55,4.828e-11,1.8,1.73808,0.8628897
56,4.914e-11,1.8,1.76904,0.8628919
57,5e-11,1.8,1.8,0.8628943
58,5.01e-11,1.8,1.8,0.8628945
59,5.03e-11,1.8,1.8,0.8628951
60,5.07e-11,1.8,1.8,0.8628963
61,5.15e-11,1.8,1.8,0.8628988
62,5.25e-11,1.8,1.8,0.8629022
63,5.35e-11,1.8,1.8,0.8629057
64,5.45e-11,1.8,1.8,0.8629095
65,5.55e-11,1.8,1.8,0.8629136
66,5.65e-11,1.8,1.8,0.8629178
67,5.75e-11,1.8,1.8,0.8629223
68,5.85e-11,1.8,1.8,0.862927
69,5.95e-11,1.8,1.8,0.8629319
70,6.05e-11,1.8,1.8,0.862937
71,6.15e-11,1.8,1.8,0.8629423
72,6.25e-11,1.8,1.8,0.8629478
73,6.35e-11,1.8,1.8,0.8629535
74,6.45e-11,1.8,1.8,0.8629594
75,6.55e-11,1.8,1.8,0.8629654
76,6.65e-11,1.8,1.8,0.8629716
77,6.75e-11,1.8,1.8,0.862978
78,6.85e-11,1.8,1.8,0.8629845
79,6.95e-11,1.8,1.8,0.8629911
80,7.05e-11,1.8,1.8,0.8629979
81,7.15e-11,1.8,1.8,0.8630049
82,7.25e-11,1.8,1.8,0.8630119
83,7.35e-11,1.8,1.8,0.8630191
84,7.45e-11,1.8,1.8,0.8630264
85,7.55e-11,1.8,1.8,0.8630338
86,7.65e-11,1.8,1.8,0.8630413
87,7.75e-11,1.8,1.8,0.8630489
88,7.85e-11,1.8,1.8,0.8630566
89,7.95e-11,1.8,1.8,0.8630644
90,8.05e-11,1.8,1.8,0.8630722
91,8.15e-11,1.8,1.8,0.8630801
92,8.25e-11,1.8,1.8,0.8630881
93,8.35e-11,1.8,1.8,0.8630961
94,8.45e-11,1.8,1.8,0.8631041
95,8.55e-11,1.8,1.8,0.8631123
96,8.65e-11,1.8,1.8,0.8631204
97,8.75e-11,1.8,1.8,0.8631286
98,8.85e-11,1.8,1.8,0.8631368
99,8.95e-11,1.8,1.8,0.8631451
100,9.05e-11,1.8,1.8,0.8631533
101,9.15e-11,1.8,1.8,0.8631616
102,9.25e-11,1.8,1.8,0.8631699
103,9.35e-11,1.8,1.8,0.8631781
104,9.45e-11,1.8,1.8,0.8631864
105,9.55e-11,1.8,1.8,0.8631947
106,9.65e-11,1.8,1.8,0.8632029
107,9.75e-11,1.8,1.8,0.8632112
108,9.85e-11,1.8,1.8,0.8632194
109,9.95e-11,1.8,1.8,0.8632276
110,1.005e-10,1.8,1.8,0.8632358
111,1.015e-10,1.8,1.8,0.863244
112,1.025e-10,1.8,1.8,0.8632521
113,1.035e-10,1.8,1.8,0.8632601
114,1.045e-10,1.8,1.8,0.8632682
115,1.055e-10,1.8,1.8,0.8632761
116,1.065e-10,1.8,1.8,0.8632841
117,1.075e-10,1.8,1.8,0.863292
118,1.085e-10,1.8,1.8,0.8632998
119,1.095e-10,1.8,1.8,0.8633076
120,1.105e-10,1.8,1.8,0.8633153
121,1.115e-10,1.8,1.8,0.863323
122,1.125e-10,1.8,1.8,0.8633306
123,1.135e-10,1.8,1.8,0.8633381
124,1.145e-10,1.8,1.8,0.8633456
125,1.155e-10,1.8,1.8,0.8633529
126,1.165e-10,1.8,1.8,0.8633603
127,1.175e-10,1.8,1.8,0.8633675
128,1.185e-10,1.8,1.8,0.8633747
129,1.195e-10,1.8,1.8,0.8633818
130,1.205e-10,1.8,1.8,0.8633888
131,1.215e-10,1.8,1.8,0.8633958
